actor_id,actor
836,Terry Kinney
837,Meg Tilly
838,Gabrielle Anwar
839,Sherilyn Fenn
840,Lillo Brancato
841,Chris Elliott
842,Ritch Brinkley
843,James Gammon
844,Gabriel Olds
845,Jerry O'Connell
846,Penelope Ann Miller
847,Dana Carvey
848,Valeria Golino
849,John Lithgow
850,Michael Rooker
851,Jane Curtin
852,Robert Knott
853,Jane March
854,Rubén Blades
855,Madonna
856,James Russo
857,Jason London
858,Wiley Wiggins
859,Matthew McConaughey
860,Patrick O'Connell
861,Robert 'Wingnut' Weaver
862,Robert August
863,Pat Morita
864,Leslie Cheung
865,Fengyi Zhang
866,Harley Jane Kozak
867,Larry B. Scott
868,Mark Christopher Lawrence
869,Rusty Cundieff
870,James Caan
871,Joan Plowright
872,Anthony Higgins
873,Sean Nelson
874,Sela Ward
875,Kim Basinger
876,Ted Danson
877,V.S. Brodie
878,Guinevere Turner
879,T. Wendy McMillan
880,Colin Friels
881,Joanne Whalley
882,Rebecca De Mornay
883,Don Johnson
884,Hiep Thi Le
885,Haing S. Ngor
886,Charlie Sheen
887,Lloyd Bridges
888,Kim Cattrall
889,Cynthia Stevenson
890,Tara Fitzgerald
891,Colm Meaney
892,Maria Conchita Alonso
893,Christopher Reid
894,Christopher Martin
895,David Edwards
896,Albert Brooks
897,Whittni Wright
898,Andy Dick
899,Pete Postlethwaite
900,Alison Crosbie
901,Suzzanne Douglas
902,RaéVen Kelly
903,Cuba Gooding Jr.
904,Laura Dern
905,Kathy Larson
906,Lisa Eichhorn
907,Helen Slater
908,Tom Guiry
909,F. Murray Abraham
910,Art Carney
911,Christina Vidal
912,Paul Hogan
913,Beverly D'Angelo
914,Barbara Sukowa
915,Will Smith
916,Margaret Whitton
917,Jerry Adler
918,Tyrin Turner
919,June Kyoto Lu
920,Tatsuya Fuji
921,Eiko Matsuda
922,Aoi Nakajima
923,Tom Noonan
924,Karen Sillas
925,Lena Olin
926,Lesley Sharp
927,Hilary Swank
928,Michael Ironside
929,Judy Davis
930,Patrick Bauchau
931,Roberta Maxwell
932,Janet Jackson
933,Regina King
934,Brian Benben
935,John Haycraft
936,Gregory Hines
937,James Remar
938,Robert John Burke
939,Nancy Allen
940,Mario Machado
941,Richard Lewis
942,Roger Rees
943,Wallace Wood
944,Daniel Pollock
945,Jacqueline McKenzie
946,Ashley Judd
947,Todd Field
948,Bentley Mitchum
949,Sean Astin
950,Jon Favreau
951,Danny Glover
952,Rick Aviles
953,Cyril Collard
954,Carlos López
955,Max Pomeranc
956,Nathan Yapp
957,Keith Allen
958,Kate Maberly
959,Maggie Smith
960,Heydon Prowse
961,Sam Waterston
962,Ricki Lake
963,Julian Fellowes
964,Stockard Channing
965,Ross Malinger
966,Tom Berenger
967,Rutger Hauer
968,Carla Gugino
969,Lane Smith
970,Mike Myers
971,Anthony LaPaglia
972,Dennis Farina
973,Charles S. Dutton
974,Nastassja Kinski
975,James Gandolfini
976,Colm Feore
977,Derek Keurvorst
978,Katya Ladan
979,Lara Flynn Boyle
980,Danny Elfman
981,Chris Sarandon
982,Catherine O'Hara
983,Sam Elliott
984,James Carville
985,George Stephanopoulos
986,Heather Beckel
987,Anna Magnani
988,Ettore Garofolo
989,Franco Citti
990,Kanin Howell
991,Leslie Hope
992,Peter Outerbridge
993,Victor Ertmanis
994,Martha Plimpton
995,Sara Suzanne Brown
996,Michael Artura
997,Leonard Donato
998,Dyanna Lauren
999,Heather Matarazzo
1000,Christina Brucato
1001,Victoria Davis
1002,Renaud
1003,Gérard Depardieu
1004,Miou-Miou
1005,Federico Luppi
1006,Claudio Brook
1007,Verónica Forqué
1008,Kim Vithana
1009,Jimmi Harkishin
1010,Sarita Khajuria
1011,Luke Edwards
1012,Timothy Busfield
1013,John Ashton
1014,Jesper Salén
1015,Stellan Skarsgård
1016,Basia Frydman
1017,Marco Hofschneider
1018,Rick Johnson
1019,Jeremy Davies
1020,Alberta Watson
1021,Benjamin Hendrickson
1022,Travis Tedford
1023,Bug Hall
1024,Brittany Ashton Holmes
1025,Chelsea Field
1026,Carlo Cecchi
1027,Claudio Amendola
1028,Phoebe Cates
1029,Jim Broadbent
1030,Wendy Hughes
1031,Lily Tomlin
1032,Tony Curtis
1033,Susie Bright
1034,Luisina Brando
1035,Alejandra Podesta
1036,Shelley Long
1037,Gary Cole
1038,Christine Taylor
1039,Scott Weinger
1040,Linda Larkin
1041,Linda Hamilton
1042,Graham Greene
1043,Billy Blanks
1044,Roddy Piper
1045,Richard Norton
1046,Charles Kahlenberg
1047,Scott Glenn
1048,Adriana Caselotti
1049,Harry Stockwell
1050,Lucille La Verne
1051,Paige O'Hara
1052,Robby Benson
1053,Jesse Corti
1054,Dickie Jones
1055,Christian Rub
1056,Mel Blanc
1057,Ralph Bellamy
1058,William Holden
1059,Ernest Borgnine
1060,Robert Ryan
1061,Gil Bellows
1062,Renée Zellweger
1063,Rory Cochrane
1064,Shih Chang
1065,Lan Wang
1066,Yumei Wang
1067,Dizzy Gillespie
1068,Milt Hinton
1069,Marian McPartland
1070,Randy Quaid
1071,Paul Reiser
1072,Brendan Fletcher
1073,Myles Ferguson
1074,Adam Harrison
1075,Mae Whitman
1076,Tony Todd
1077,Kelly Rowan
1078,Caroline Barclay
1079,Charles Dance
1080,Clive Owen
1081,William H. Macy
1082,Ralph Waite
1083,Richard Romanus
1084,John Candy
1085,Joe Flaherty
1086,Bruce Ramsay
1087,Valentina Vargas
1088,Doug Bradley
1089,David Schwimmer
1090,Charlotte Gainsbourg
1091,Anna Paquin
1092,Oliver Milburn
1093,Dearbhla Molloy
1094,Danny Cunningham
1095,Phil Harris
1096,Eva Gabor
1097,Sterling Holloway
1098,Marisa Paredes
1099,Juan Echanove
1100,Carme Elias
1101,Matt LeBlanc
1102,Jayne Brook
1103,Gene Ross
1104,Vittorio Mezzogiorno
1105,Stefan Glowacz
1106,Mathilda May
1107,Marthe Villalonga
1108,Caroline Aaron
1109,Robert LuPone
1110,Cynda Williams
1111,Paul Calderon
1112,Lynn Whitfield
1113,Ron Eldard
1114,Annabeth Gish
1115,Edward Norton
1116,Maurice Dean Wint
1117,Clark Johnson
1118,Amy Irving
1119,Amy Locane
1120,Sheena Easton
1121,Dom DeLuise
1122,Ian Hart
1123,Rosana Pastor
1124,Icíar Bollaín
1125,Tim Daly
1126,Caroleen Feeney
1127,Dan Gunther
1128,Armin Mueller-Stahl
1129,Juliet Landau
1130,Michael Beach
1131,Michael Gunther
1132,Craig Chester
1133,Michael Stock
1134,Phil Hartman
1135,Theresa Randle
1136,Isaiah Washington
1137,Spike Lee
1138,Thierry Lhermitte
1139,Ludwig Briand
1140,Patrick Timsit
1141,Anica Dobra
1142,Felicitas Grimm-Luck
1143,Martin Umbach
1144,Ulrich Mühe
1145,Iris Berben
1146,Marita Marschall
1147,Erik Goertz
1148,Anton Rattinger
1149,Dieter Wardetzky
1150,Emmanuelle Béart
1151,Lou Diamond Phillips
1152,Jon Voight
1153,Pang Eun-jin
1154,Hwang Sin-hye
1155,Chu-Ryun Kim
1156,Peter Ketnath
1157,Nina Hoss
1158,Steffen Schroeder
1159,Max Cullen
1160,Kris McQuade
1161,Tina Bursill
1162,Alain Delon
1163,Maurice Ronet
1164,Marie Laforêt
1165,Leslie Phillips
1166,Kate Burton
1167,Paul Terry
1168,Joanna Lumley
1169,Mark Wahlberg
1170,William Petersen
1171,Dave Foley
1172,Bruce McCulloch
1173,Kevin McDonald
1174,Cher
1175,Ryan O'Neal
1176,Predrag 'Miki' Manojlovic
1177,Lazar Ristovski
1178,Mirjana Jokovic
1179,Kanu Bannerjee
1180,Karuna Bannerjee
1181,Subir Banerjee
1182,Pinaki Sengupta
1183,Smaran Ghosal
1184,Kamala Adhikari
1185,Soumitra Chatterjee
1186,Sharmila Tagore
1187,Alok Chakravarty
1188,Trace Beaulieu
1189,Michael J. Nelson
1190,Jim Mallon
1191,Rose Gregorio
1192,Michael Jordan
1193,Wayne Knight
1194,Jane Fonda
1195,John Phillip Law
1196,Anita Pallenberg
1197,Donna Frotscher
1198,Nick Baldasare
1199,Christina Veronica
1200,Matt Keeslar
1201,Victoria Smurfit
1202,Eddie Constantine
1203,Anna Karina
1204,Akim Tamiroff
1205,Philippe Noiret
1206,Stéphane Audran
1207,Samuel Fuller
1208,Jim Jarmusch
1209,Michel Bouquet
1210,Brian Cox
1211,Maquisard Alfonso
1212,Talia Shire
1213,Joe Cortese
1214,Elizabeth Ashley
1215,John Hargreaves
1216,Shirley MacLaine
1217,Mario Van Peebles
1218,William Sadler
1219,Barry Corbin
1220,Raymond Cruz
1221,William Forsythe
1222,Kevin Dillon
1223,Bill Nunn
1224,Michael Bowen
1225,Amanda Plummer
1226,Kathy Jamieson
1227,Saskia Reeves
1228,Patricia Royce
1229,Lorraine Devon Wilke
1230,JD Souther
1231,Charlie Talbert
1232,George C. Scott
1233,Kathy Bates
1234,Gérard Desarthe
1235,Antje de Boeck
1236,John Marley
1237,Lynn Carlin
1238,Lukas Haas
1239,John C. Reilly
1240,Britt Allcroft
1241,Patrick Breen
1242,Ben Mendelsohn
1243,Barry Otto
1244,Rhea Perlman
1245,Fredro Starr
1246,Carol Kane
1247,Jennifer Connelly
1248,Ben Chaplin
1249,Joey Lawrence
1250,Billy Joel
1251,Cheech Marin
1252,Damon Wayans
1253,Jonathan Banks
1254,Stefania Sandrelli
1255,Gary Farmer
1256,Crispin Glover
1257,Olivier Martinez
1258,Pierre Arditi
1259,Robbie Lee
1260,Joanne Nail
1261,Monica Gayle
1262,Javier Bardem
1263,Josep Maria Flotats
1264,Christian Clavier
1265,Valérie Lemercier
1266,Zack Duhame
1267,Maila Nurmi
1268,Dolores Fuller
1269,Paul Marco
1270,Robin Tunney
1271,Fairuza Balk
1272,Neve Campbell
1273,Jean Andrews
1274,Judith Fyfe
1275,Rita Graham
1276,Eileen Atkins
1277,Kate Beckinsale
1278,Sheila Burrell
